ENTITIES,GROUPS,FAMILY,CROSS SECTION mm,Fixation,SPOOL TYPE,RM,LME PROJECTS,MATCH,Month,Month Name,QTY_Km,RC_Needs_Kg,CC_Needs_Kg,ES_mm,AV_INDEX,TOTAL_AMOUNT,LME_SALES_avg,BASIC_LME_avg,UNIT_PRICE_avg,AV_avg
COFICAB Kenitra,APTIV,A3 SBD    ,1600,M-1,PRODUCED,PVC3010,LME Cash M-1 + 332€ APTIV,119A3 SBD    1600,1,Jan,2.4,319.1492213432256,338.4,38.4,835.7760000000001,4359.227256,10.41209,10.08009,1816.34469,348.24
COFICAB Kenitra,APTIV,A3 SBD    ,2500,M-1,PRODUCED,PVC3011,LME Cash M-1 + 332€ APTIV,119A3 SBD    2500,1,Jan,3.0999999999999996,647.8421880197398,682.0,77.5,1339.076,8440.12138,10.41209,10.08009,2722.6198,431.96
COFICAB Kenitra,APTIV,A3 SCD    ,3500,M-1,PRODUCED,PVC3011,LME Cash M-1 + 332€ APTIV,38A3 SCD    3500,1,Jan,144.69,43492.50233919149,45577.35,5064.15,81425.74440000001,555981.2145615,10.41209,10.08009,3842.5683499999996,562.76
COFICAB Kenitra,APTIV,A3 TBD    ,75,M-1,PRODUCED,PVC3005,LME Cash M-1 + 332€ APTIV,38A3 TBD    0075,1,Jan,8.016,50.57083355679764,53.7072,6.0120000000000005,116.95344,676.1576400480001,10.41209,10.08009,84.351003,14.59
COFICAB Kenitra,APTIV,A3 TBD    ,1000,M-1,PRODUCED,PVC3010,LME CASH M-1 + 315$ + 1% + 122€ APTIV,119A3 TBD    1000,1,Jan,20.908,1777.5452857770201,1839.904,209.08,3254.53928,22710.751320319996,10.57458,10.08095,1086.2230399999999,155.66
COFICAB Kenitra,APTIV,A3 TBD    ,1600,M-1,PRODUCED,PVC3010,LME CASH M-1 + 315$ + 1% + 122€ APTIV,119A3 TBD    1600,1,Jan,32.268,4290.961280959667,4549.788,516.288,7583.62536,55695.722549039994,10.57458,10.08095,1726.03578,235.02
COFICAB Kenitra,APTIV,A3 TBD    ,2500,M-1,PRODUCED,PVC3011,LME Cash M-1 + 332€ APTIV,119A3 TBD    2500,1,Jan,1.151,240.5375349712002,253.22,28.775,475.80038,3112.3498098,10.41209,10.08009,2704.0398,413.38
COFICAB Kenitra,APTIV,A3Z-P     ,35,M-1,PRODUCED,PPZH-S,LME Forward 3M(M-1) + 332€ APTIV,38A3Z-P     0035,1,Jan,42.031,121.04159471527834,130.29610000000002,14.71085,450.57232,1804.053026853,10.38773,10.05573,42.921963,10.72
COFICAB Kenitra,APTIV,A3Z-P     ,50,M-1,PRODUCED,PPZH-S,LME Forward 3M(M-1) + 332€ APTIV,38A3Z-P     0050,1,Jan,1498.74,6336.691645483075,6594.456,749.37,18209.691,86711.11942488,10.38773,10.05573,57.85601199999999,12.15
COFICAB Kenitra,APTIV,A3Z-P     ,50,M-1,PRODUCED,PPZH-S,LME Forward 3M(M-1) + 332€ APTIV,85A3Z-P     0050,1,Jan,4691.34,19835.04476034574,20641.896,2345.67,56999.781,271422.22333608,10.38773,10.05573,57.856012,12.15
